法人名称,法人番号,主たる事務所の所在地,代表者,有効期限
特定非営利活動法人鹿児島ブロンコス, ,鹿児島県鹿児島市冷水町11番11号,今園　貴史,平成19年11月1日から平成21年10月31日まで,
特定非営利活動法人ふじみの国際交流センター, ,埼玉県ふじみ野市上福岡5丁目4番25号,石井　ナナヱ,平成15年11月1日から平成21年10月31日まで,
特定非営利活動法人二十一世紀協会, ,東京都八王子市散田町2丁目68番14号,池田　晶子,平成14年7月1日から平成25年6月30日まで,
特定非営利活動法人国境なき医師団日本, ,東京都新宿区馬場下町1番地1早稲田SIAビル3階,黒　伸子,平成14年8月1日から平成25年7月31日まで,
特定非営利活動法人ウイメンズハウスとちぎ, ,栃木県宇都宮市塙田2丁目5番1号共生ビル3階特定非営利活動法人とちぎボランティアネットワーク内,中村　千惠子,平成16年10月1日から平成25年9月30日まで,
特定非営利活動法人森の会, ,新潟県新潟市北区樋ノ入字向沢430番地3,秦　隆輔,平成14年11月1日から平成25年10月31日まで,
特定非営利活動法人北九州ホームレス支援機構, ,福岡県北九州市八幡東区荒生田2丁目1番32号,奥田　知志,平成16年12月1日から平成25年11月30日まで,
特定非営利活動法人青少年の自立を支える会, ,栃木県宇都宮市清住1丁目3番48号,福田　雅章,平成14年12月1日から平成25年11月30日まで,
特定非営利活動法人緑と水の連絡会議, ,島根県大田市大田町大田イ376番地1,高橋　泰子,平成18年12月1日から平成25年11月30日まで,
特定非営利活動法人アールディーエージャパン, ,東京都板橋区坂下1丁目36番7号エステートピアO・K103号室,近藤　誠司,平成17年1月1日から平成25年12月31日まで,
特定非営利活動法人海塾, ,東京都港区芝浦4丁目22-1芝浦アイランドエアタワー721,高橋　順蔵,平成21年1月1日から平成25年12月31日まで,
特定非営利活動法人インド福祉村協会, ,愛知県豊橋市平川南町73,三木　隆治,平成17年2月1日から平成26年1月31日まで,
特定非営利活動法人救急ヘリ病院ネットワーク, ,東京都千代田区1番町25番全国町村議員会館内,篠田　伸夫,平成19年2月1日から平成26年1月31日まで,
特定非営利活動法人北海道移植医療推進協議会, ,北海道札幌市中央区南1条西16丁目1番246号ANNEXレーベンビル内,横内　龍三,平成19年2月1日から平成26年1月31日まで,
特定非営利活動法人さいたまユネスコ協会, ,埼玉県さいたま市大宮区高鼻町2丁目320番の70,本多　,平成15年3月1日から平成26年2月28日まで,
特定非営利活動法人綜合画像研究支援, ,東京都千代田区平河町1丁目7番5号,大隅　正子,平成19年3月1日から平成26年2月28日まで,
特定非営利活動法人チャイルドラインもしもしキモチ, ,福岡県福岡市中央区警固1丁目13番15-404,渕上　繼雄,平成17年3月1日から平成26年2月28日まで,
特定非営利活動法人ディーピーアイ日本会議, ,東京都千代田区神田錦町3丁目11番地武蔵野ビル5階,山田　昭義,平成19年3月1日から平成26年2月28日まで,
特定非営利活動法人兵庫さい帯血バンク, ,兵庫県西宮市武庫川町1番1号,後藤　武,平成19年3月1日から平成26年2月28日まで,
特定非営利活動法人ブッダ基金, ,静岡県浜松市中区佐鳴台3丁目52番22号ブッダ基金事務局,山口　貴司,平成17年3月1日から平成26年2月28日まで,
特定非営利活動法人ブリッジエーシアジャパン, ,東京都渋谷区本町3丁目48-21-303号,新石　悦子,平成19年3月1日から平成26年2月28日まで,
特定非営利活動法人神奈川子ども未来ファンド, ,神奈川県横浜市中区新港2丁目2番1号横浜ワールドポーターズ6階NPOスクエア,山崎　美貴子,平成19年4月1日から平成26年3月31日まで,
特定非営利活動法人岐阜いのちの電話協会, ,岐阜県岐阜市大福町8丁目33番地,杉田　憲夫,平成19年4月1日から平成26年3月31日まで,
特定非営利活動法人希望, ,茨城県古河市上辺見2710番地,桑原　正信,平成19年5月1日から平成26年4月30日まで,
特定非営利活動法人国際アマチュア無線ボランティアズ, ,東京都品川区西五反田4丁目20番2号,林　義雄,平成19年5月1日から平成26年4月30日まで,
特定非営利活動法人柔道教育ソリダリティー, ,神奈川県平塚市北金目4丁目1番1号東海大学体育学部柔道研究室,山下　泰裕,平成21年5月1日から平成26年4月30日まで,
特定非営利活動法人言論エヌピーオー, ,東京都中央区日本橋1丁目20番7号,工藤　泰志,平成17年6月1日から平成26年5月31日まで,
特定非営利活動法人自然環境復元協会, ,東京都新宿区高田馬場1丁目3番13号,加藤　正之,平成19年6月1日から平成26年5月31日まで,
特定非営利活動法人とちぎボランティアネットワーク, ,栃木県宇都宮市塙田2丁目5番1号,二見　令子,平成19年6月1日から平成26年5月31日まで,
特定非営利活動法人ぶどうのいえ, ,東京都文京区弥生1丁目3番12号,堀内　昭,平成17年6月1日から平成26年5月31日まで,
緑の地球ネットワーク, ,大阪府大阪市港区市岡1丁目4番24号,前中　久行,平成17年6月1日から平成26年5月31日まで,
特定非営利活動法人水俣フォーラム, ,東京都新宿区高田馬場1丁目34番12号竹内ローリエビル404号室,畠山　武道,平成19年6月1日から平成26年5月31日まで,
特定非営利活動法人SOS子どもの村JAPAN, ,福岡県福岡市中央区今川2丁目14-3サンビル3F,満留　昭久,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人神奈川被害者支援センター, ,神奈川県横浜市神奈川区鶴屋町2丁目24番2号かながわ県民センター14階,榊原　高尋,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人工芸技能研究所, ,東京都日野市落川993番地三榮ビル2階,和田　伊都子,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人国連UNHCR協会, ,東京都港区南青山6丁目10番11号,滝澤　三郎,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人シーピーアイ教育文化交流推進委員会, ,東京都三鷹市中原2丁目16番9号,小西　菊文,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人数理の翼, ,東京都港区新橋1丁目17番1号新幸ビル4階,上野　雄文,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人スペシャルオリンピックス日本・東京, ,東京都江東区東陽2丁目2番20号東京YMCA東陽町センター内,岡松　武司,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人日本ブルキナファソ友好協会, ,千葉県白井市桜台2丁目6番3-404号,松山　則政,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人東三河後見センタ－, ,愛知県豊川市豊川町辺通4の4豊川商工会議所3階,長谷川　卓也,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人福岡どうぶつ会議所, ,福岡県福岡市中央区天神3丁目11番1号,島田　隆一,平成19年7月1日から平成26年6月30日まで,
特定非営利活動法人アレルギー支援ネットワーク, ,愛知県名古屋市中村区大秋町2丁目45番地6,須藤　千春,平成21年9月1日から平成26年8月31日まで,
特定非営利活動法人国際連合世界食糧計画WFP協会, ,神奈川県横浜市西区みなとみらい1丁目1番1号WFP日本事務所内,安藤　宏基,平成17年9月1日から平成26年8月31日まで,
特定非営利活動法人ジェン, ,東京都新宿区揚場町2番16号第二東文堂ビル7階,吉岡　健治松本　由貴子,平成17年9月1日から平成26年8月31日まで,
特定非営利活動法人富士山世界遺産国民会議, ,東京都港区虎ノ門3丁目11番15号4階,遠山　敦子,平成21年9月1日から平成26年8月31日まで,
特定非営利活動法人ホームレス自立支援市川ガンバの会, ,千葉県市川市八幡3丁目28番23号本八幡イーストビル3階,副田　一朗,平成21年9月1日から平成26年8月31日まで,
特定非営利活動法人おんがくの共同作業場, ,東京都立川市曙町2丁目25番1号,郡司　博,平成21年10月1日から平成26年9月30日まで,
特定非営利活動法人災害福祉広域支援ネットワーク・サンダーバード, ,東京都台東区谷中3丁目6番16号,小山　剛,平成21年10月1日から平成26年9月30日まで,
特定非営利活動法人天然薬用資源開発機構, ,京都府京都市上京区椹木町通黒門東入中御門横町574番地1ファルマフードビル,山原　條二,平成19年10月1日から平成26年9月30日まで,
特定非営利活動法人日本国際ボランティアセンター, ,東京都台東区上野5丁目3番4号,谷山　博史,平成17年10月1日から平成26年9月30日まで,
特定非営利活動法人愛・地球博ボランティアセンター, ,愛知県名古屋市中広三の丸1丁目7番地2号,榎田　勝利,平成21年11月1日から平成26年10月31日まで,
